"total_sales_month","month","year"
"1507.330€","January  ",2019
"3329.020€","February ",2019
"6040.880€","March    ",2019
"6825.630€","April    ",2019
"11036.980€","May      ",2019
"12061.990€","June     ",2019
"14819.230€","July     ",2019
"15802.540€","August   ",2019
"19450.610€","November ",2019
"22343.900€","September",2019
"22836.710€","October  ",2019
"29119.290€","December ",2019
"33347.570€","March    ",2020
"33633.370€","January  ",2020
"34092.410€","February ",2020
"37683.790€","April    ",2020
"43250.300€","May      ",2020
"45986.980€","June     ",2020
"49050.420€","August   ",2020
"50486.220€","September",2020
"50781.950€","July     ",2020
"55328.550€","October  ",2020
"62020.110€","November ",2020
"65162.450€","February ",2021
"66485.300€","December ",2020
"74821.010€","April    ",2021
"78070.370€","March    ",2021
"78506.220€","January  ",2021
"84338.590€","July     ",2021
"85297.780€","June     ",2021
"87414.290€","May      ",2021
"95673.980€","August   ",2021
"103836.180€","September",2021
"105720.260€","February ",2022
"108922.290€","October  ",2021
"109526.580€","November ",2021
"118909.580€","December ",2021
"120755.970€","January  ",2022
"129151.700€","March    ",2022
"132315.340€","April    ",2022
"148886.800€","June     ",2022
"149667.270€","May      ",2022
"160290.720€","July     ",2022
"161602.360€","September",2022
"166806.150€","August   ",2022
"193452.210€","November ",2022
"196629.300€","October  ",2022
"202691.420€","December ",2022
"203363.650€","February ",2023
"214612.300€","January  ",2023
"235181.110€","April    ",2023
"243450.680€","March    ",2023
"258402.760€","May      ",2023
"273995.970€","June     ",2023
"316434.330€","July     ",2023
"330334.930€","August   ",2023
"362257.050€","September",2023
"411154.370€","October  ",2023
"429962.240€","November ",2023
"542673.340€","December ",2023
"619744.080€","January  ",2024
