"name","category","bought_products"
"Wrangler Men's Premium Performance Cowboy Cut Jean","Jeans",50
"7 For All Mankind Men's Standard Classic Straight Leg Jean","Jeans",32
"Kenneth Cole Men's Straight Leg Jean","Jeans",28
"True Religion Men's Ricky Straight Jean","Jeans",27
"Michael Kors Men's 3 Pack Brief","Underwear",25
"Wrangler Men's Original Cowboy Cut Relaxed Fit Jean","Jeans",24
"HUGO BOSS Men's Long Pant","Sleep & Lounge",24
"Lilly Pulitzer Women's Callahan Short","Shorts",23
"Diesel Men's Shioner Skinny Straight Leg Jean","Jeans",23
"Lucky Brand Mens Men's 361 Vintage Straight Denim Jean","Jeans",23
"Puma Men's Socks","Socks",23
"Wrangler Men's Genuine Tampa Cargo Short","Shorts",21
"UltraClub Adult Sherpa-Lined Full-Zip Fleece with Hood","Fashion Hoodies & Sweatshirts",21
"Volcom Men's Vorta Slim Straight Leg Fit Jean","Jeans",21
"Bjorn Borg Men's Side Stetch Solid Boxer Brief","Underwear",21
"Polo Ralph Lauren Classic-Fit Mesh Polo","Tops & Tees",21
"Joe's Jeans Men's Rebel Relaxed Fit Jean","Jeans",20
"Motherhood Maternity: 3 Pack Maternity Bikini Panties","Maternity",20
"Wrangler Men's Rugged Wear Classic Fit Jean","Jeans",20
"HUGO BOSS Men's Striped Crew Sock","Socks",19
"Belly Bandit post pregnancy tummy wrap belly band original Nude","Maternity",19
"Volcom Men's Nova Jean","Jeans",19
"FULL TILT Basic Womens Hoodie","Fashion Hoodies & Sweatshirts",19
"State O Maine Big and Tall Plaid Microfleece Lounge Pant","Sleep & Lounge",19
"Levi's Juniors' Demi Curve ID Skinny Jean","Jeans",19
"Upsie Belly - Belly Bandit Pregnancy Support Band and Wrap","Maternity",19
"Wrangler Men's Sarasota Agility Short","Shorts",19
"BCBGMAXAZRIA Women's Bowie Tuxedo Jacket","Blazers & Jackets",18
"Nike Classic Fleece Hooded Top","Active",18
"Tommy Hilfiger Men Custom Fit Plaid Short Sleeve Shirt","Tops & Tees",18
"Wrangler Men's Retro Straight Leg Jean","Jeans",18
"DICKIES Mens Relaxed Fit Shorts","Shorts",17
"RVCA Men's Daggers Denim Pant","Jeans",17
"HUGO BOSS Men's Hooded Robe","Sleep & Lounge",17
"Rusty Men's Goombah Too Boardshort","Swim",17
"LOCS Sunglasses Hardcore Black Dark Lens 0103 Designer Stylish w Bag","Accessories",17
"7 For All Mankind Men's Austyn Relaxed Straight Leg Jean","Jeans",17
"Chaps Big and Tall Solid V-Neck Vest","Sweaters",17
"New Men's Sexy Center Patch Bikini Swimsuit 3G by Gregg Homme","Swim",17
"Paul Malone Wedding Vest Set Ivory 5pcs Tuxedo Vest + Necktie + Ascot + Hanky + 2 Cufflinks","Suits & Sport Coats",17
"Rip Curl Men's Constant Walkshort","Shorts",17
"Calvin Klein Men's Slim Fit Coat","Outerwear & Coats",17
"Hanes Men's 4 Pack Boxer Brief","Underwear",17
"Nautica Men's Woven Windowpane Pant","Sleep & Lounge",17
"Wrangler Men's Rugged Wear Stretch Jean","Jeans",17
"Fred Perry Men's Crew Neck Sweater","Sweaters",17
"180s Women's Tahoe Ear Warmer","Plus",17
"Kenneth Cole REACTION Men's Passcase Wallet","Accessories",16
"HUGO BOSS Men's Bright Argyle Crew Sock","Socks",16
"TopTie Unisex Elastic Y-Back Suspenders 1 inch(3CM) Solid J-Clip Suspender--Black","Accessories",16
"Wrangler Men's Genuine Loose Fit Jean","Jeans",16
"Wrangler Men's Cowboy Cut Western Jean","Jeans",16
"RVCA Men's Heavy Chev Denim Pant","Jeans",16
"Briefly Stated Juniors Character Pant","Sleep & Lounge",16
"Bottoms Out Men's Plaid Sleep Jam","Sleep & Lounge",16
"RUDE White Skinny Fit Denim Jeans","Jeans",16
"Motherhood Maternity: Plus Size 3 Pack Maternity Hi-cut Panties","Maternity",16
"RSQ Vancouver Mens Slim Slouch Jeans","Jeans",16
"ck one Men's Micro Low Rise Trunk","Underwear",16
"AG Adriano Goldschmied Men's Matchbox Slim Straight Jean","Jeans",16
"Intimo Men's Solid Corel Fleece Shawl Collar Robe","Sleep & Lounge",16
"Bayside Apparel Adult USA-Made Long-Sleeve Pocket T-Shirt. 8100","Tops & Tees",16
"Life is Good Men's King Of The Grill Short Sleeve Tee","Active",16
"Lee Women's Plus-Size Relaxed Fit Plain Front Pant","Pants & Capris",15
"Diesel Women's Getlegg Jean","Jeans",15
"eloquii Pieced Front Pencil Skirt","Skirts",15
"KAMALIKULTURE Women's Long Sleeve Side Draped Dress","Dresses",15
"Wrangler Rugged Wear Men's Unlined Denim Jacket Antique Navy","Outerwear & Coats",15
"Haggar Men's Tonal Stria Pleat Front Cuff Dress Pant","Pants",15
