"category","total_items_ordered","cancelled_items","returned_items","loss_rate_percentage","revenue_lost"
"Suits",1024,155,110,"25.88%","    30,302.85€"
"Jumpsuits & Rompers",934,133,106,"25.59%","     9,343.09€"
"Accessories",9753,1531,945,"25.39%","   105,146.39€"
"Suits & Sport Coats",5223,769,555,"25.35%","   168,837.51€"
"Clothing Sets",213,34,20,"25.35%","     4,398.32€"
"Shorts",11038,1650,1139,"25.27%","   133,665.99€"
"Active",9086,1341,947,"25.18%","   115,699.19€"
"Pants",7328,1071,772,"25.15%","   111,061.85€"
"Swim",11428,1731,1133,"25.06%","   163,664.58€"
"Intimates",13474,2011,1364,"25.05%","   114,713.30€"
"Jeans",12698,1943,1237,"25.04%","   311,843.60€"
"Pants & Capris",3389,511,337,"25.02%","    50,238.89€"
"Outerwear & Coats",8968,1324,919,"25.01%","   318,178.82€"
"Plus",4323,632,448,"24.98%","    41,016.19€"
"Maternity",5165,759,530,"24.96%","    65,735.15€"
"Fashion Hoodies & Sweatshirts",11885,1749,1217,"24.96%","   160,891.51€"
"Socks",6346,965,612,"24.85%","    35,697.68€"
"Tops & Tees",11925,1788,1172,"24.82%","   122,249.77€"
"Sweaters",11265,1665,1130,"24.81%","   205,631.04€"
"Underwear",7527,1100,765,"24.78%","    49,388.57€"
"Dresses",5456,803,548,"24.76%","   114,788.15€"
"Leggings",3183,471,317,"24.76%","    19,697.53€"
"Socks & Hosiery",3787,578,352,"24.56%","    16,297.55€"
"Blazers & Jackets",3205,488,294,"24.40%","    73,036.53€"
"Skirts",2134,312,203,"24.13%","    28,957.33€"
"Sleep & Lounge",11002,1576,1060,"23.96%","   129,300.81€"
