"product_category","unsold_items"
"Intimates",22879
"Jeans",21557
"Tops & Tees",20360
"Fashion Hoodies & Sweatshirts",20270
"Swim",19442
"Sweaters",19214
"Shorts",18659
"Sleep & Lounge",18646
"Accessories",16614
"Active",15565
"Outerwear & Coats",15211
"Underwear",12754
"Pants",12381
"Socks",10868
"Dresses",9166
"Suits & Sport Coats",8867
"Maternity",8756
"Plus",7363
"Socks & Hosiery",6405
"Pants & Capris",5754
"Blazers & Jackets",5503
"Leggings",5418
"Skirts",3564
"Suits",1762
"Jumpsuits & Rompers",1608
"Clothing Sets",360
